"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"ARG",2020,"HepB","HepB_BD",2085.73693109701,1950.29946803876,"PAHO","Upper middle income",0.72,655816
"ARG",2020,"Hib","Hib3",213.879885324333,190.688090530128,"PAHO","Upper middle income",0.74,655816
"ARG",2020,"Measles","MCV1",3138.81906746951,2810.33800226921,"PAHO","Upper middle income",0.77,655816
"ARG",2020,"Measles","MCV2",471.720722929849,398.716325333563,"PAHO","Upper middle income",0.71,655816
"ARG",2020,"PCV","PCV3",219.099674513213,205.405944856137,"PAHO","Upper middle income",0.75,655816
"ARG",2020,"Rota","Rota",53.7166178106782,50.2285257450497,"PAHO","Upper middle income",0.72,655816
"ARG",2020,"YF","YF",48.8344978331674,48.8344978331674,"PAHO","Upper middle income",0.08,655816
"ARG",2020,"D","DTP3",25.2220384062066,22.4871185790276,"PAHO","Upper middle income",0.74,655816
"ARG",2020,"P","DTP3",767.034967651752,683.862501279875,"PAHO","Upper middle income",0.74,655816
"ARG",2020,"T","DTP3",89.9061486558895,80.1572891630822,"PAHO","Upper middle income",0.74,655816
"ARG",2020,"TB","BCG",87.847250186064,77.5122795759389,"PAHO","Upper middle income",0.75,655816
"ARG",2020,"Rubella","Rubella",679.739930927018,608.604356760237,"PAHO","Upper middle income",0.77,655816
"ARG",2021,"HPV","HPV",2661.76171740025,0,"PAHO","Upper middle income",0,347177
"ARG",2021,"HepB","HepB",4839.6497936382,4723.03172632162,"PAHO","Upper middle income",0.81,630742
"ARG",2021,"HepB","HepB_BD",2005.99235668845,2005.99235668845,"PAHO","Upper middle income",0.77,630742
"ARG",2021,"Hib","Hib3",205.702554724558,200.745866658906,"PAHO","Upper middle income",0.81,630742
"ARG",2021,"Measles","MCV1",3018.8117036697,3018.8117036697,"PAHO","Upper middle income",0.86,630742
"ARG",2021,"Measles","MCV2",453.685290115244,426.68021332267,"PAHO","Upper middle income",0.79,630742
"ARG",2021,"PCV","PCV3",210.722774226022,208.088739548197,"PAHO","Upper middle income",0.79,630742
"ARG",2021,"Rota","Rota",51.6628550555991,52.3338012251523,"PAHO","Upper middle income",0.78,630742
"ARG",2021,"YF","YF",46.9673945623279,35.2255459217459,"PAHO","Upper middle income",0.06,630742
"ARG",2021,"D","DTP3",24.2577170249088,23.6731937231038,"PAHO","Upper middle income",0.81,630742
"ARG",2021,"P","DTP3",737.708701170147,719.932587888939,"PAHO","Upper middle income",0.81,630742
"ARG",2021,"T","DTP3",86.4687412559514,84.385157129302,"PAHO","Upper middle income",0.81,630742
"ARG",2021,"TB","BCG",84.4885612379972,79.5186458710562,"PAHO","Upper middle income",0.8,630742
"ARG",2021,"Rubella","Rubella",653.751240458862,653.751240458862,"PAHO","Upper middle income",0.86,630742
"ARG",2022,"HPV","HPV",3030.78752273376,0,"PAHO","Upper middle income",0,351258
"ARG",2022,"HepB","HepB",4836.91906117281,4675.15309312754,"PAHO","Upper middle income",0.81,624348
"ARG",2022,"HepB","HepB_BD",2032.32777234546,1985.65707676628,"PAHO","Upper middle income",0.77,624348
"ARG",2022,"Hib","Hib3",205.586488755252,198.710852229207,"PAHO","Upper middle income",0.81,624348
"ARG",2022,"Measles","MCV1",3001.07099373655,2883.969347761,"PAHO","Upper middle income",0.83,624348
"ARG",2022,"Measles","MCV2",452.574309363488,497.202535658628,"PAHO","Upper middle income",0.93,624348
"ARG",2022,"PCV","PCV3",211.93799052208,200.764622925659,"PAHO","Upper middle income",0.77,624348
"ARG",2022,"Rota","Rota",52.3411042809168,51.8032795141618,"PAHO","Upper middle income",0.78,624348
"ARG",2022,"YF","YF",46.4912735479805,46.4912735479805,"PAHO","Upper middle income",0.08,624348
"ARG",2022,"D","DTP3",24.2440298082215,23.4332122399212,"PAHO","Upper middle income",0.81,624348
"ARG",2022,"P","DTP3",737.292455122152,712.634439094405,"PAHO","Upper middle income",0.81,624348
"ARG",2022,"T","DTP3",86.4199519821285,83.5297222689554,"PAHO","Upper middle income",0.81,624348
"ARG",2022,"TB","BCG",84.1320201561071,77.728637332536,"PAHO","Upper middle income",0.79,624348
"ARG",2022,"Rubella","Rubella",649.909327725012,624.54989698502,"PAHO","Upper middle income",0.83,624348
"ARM",2019,"HPV","HPV",6.81984821947092,6.81984821947092,"EURO","Upper middle income",0.08,18547
"ARM",2019,"HepB","HepB",173.729566475847,173.729566475847,"EURO","Upper middle income",0.92,37532
"ARM",2019,"HepB","HepB_BD",65.0403068278241,65.0403068278241,"EURO","Upper middle income",0.96,37532
