"location_iso3","year","disease","v_at_id","target"
"ALB",2021,"HPV",2,18.996596741885
"ALB",2021,"HepB",3,196.387015214538
"ALB",2021,"HepB",4,39.8124591426025
"ALB",2021,"Hib",5,17.7451606841661
"ALB",2021,"Measles",8,148.250101000158
"ALB",2021,"Measles",9,20.0255443704447
"ALB",2021,"P",20,21.8910735524092
"ALB",2021,"PCV",13,17.5224172804318
"ALB",2021,"Rota",15,0
"ALB",2021,"Rubella",17,4.62297349883448
"ALB",2021,"T",20,2.60351805458295
"ALB",2021,"TB",21,1.62700571024151
"ALB",2022,"D",20,0.440523619336057
"ALB",2022,"HPV",2,27.5948043574126
"ALB",2022,"HepB",3,194.924027634737
"ALB",2022,"HepB",4,39.5158757193894
"ALB",2022,"Hib",5,17.6129678828542
"ALB",2022,"Measles",8,148.413865678492
"ALB",2022,"Measles",9,19.8011792881708
"ALB",2022,"P",20,21.7279957201977
"ALB",2022,"PCV",13,17.4953336449215
"ALB",2022,"Rota",15,0
"ALB",2022,"Rubella",17,4.62808027287968
"ALB",2022,"T",20,2.5841231135606
"ALB",2022,"TB",21,1.61488531040882
"ALB",2023,"D",20,0.445976691563459
"ALB",2023,"HPV",2,28.4391516395587
"ALB",2023,"HepB",3,197.336917102844
"ALB",2023,"HepB",4,40.0050275263949
"ALB",2023,"Hib",5,17.8309920290938
"ALB",2023,"Measles",8,151.324647753761
"ALB",2023,"Measles",9,19.7644653221263
"ALB",2023,"P",20,21.9969582112385
"ALB",2023,"PCV",13,17.8016811488672
"ALB",2023,"Rota",15,0
"ALB",2023,"Rubella",17,4.71884896918455
"ALB",2023,"T",20,2.61611097837471
"ALB",2023,"TB",21,1.63487535373477
"ALB",2024,"D",20,0.442090594114046
"ALB",2024,"HPV",2,28.109437514919
"ALB",2024,"HepB",3,195.617386677297
"ALB",2024,"HepB",4,39.6564365834714
"ALB",2024,"Hib",5,17.6756184995897
"ALB",2024,"Measles",8,150.896049305131
"ALB",2024,"Measles",9,20.0885051661457
"ALB",2024,"P",20,21.8052837923359
"ALB",2024,"PCV",13,17.72285533647
"ALB",2024,"Rota",15,0.408010828351096
"ALB",2024,"Rubella",17,4.70548372183367
"ALB",2024,"T",20,2.59331502873707
"ALB",2024,"TB",21,1.62062957573237
"ALB",2025,"D",20,0.439395397495905
"ALB",2025,"HPV",2,28.2175977039542
"ALB",2025,"HepB",3,194.424809124095
"ALB",2025,"HepB",4,39.4146718972503
"ALB",2025,"Hib",5,17.5678594388046
"ALB",2025,"Measles",8,150.715837096268
"ALB",2025,"Measles",9,20.4136832551705
"ALB",2025,"P",20,21.6723483082583
"ALB",2025,"PCV",13,17.6798107055559
"ALB",2025,"Rota",15,0.615563215716738
"ALB",2025,"Rubella",17,4.69986405439252
"ALB",2025,"T",20,2.57750493463354
"ALB",2025,"TB",21,1.61074943937587
"ALB",2026,"D",20,0.436653191634424
"ALB",2026,"HPV",2,26.4835456410343
"ALB",2026,"HepB",3,193.211430799616
"ALB",2026,"HepB",4,39.1686903851067
"ALB",2026,"Hib",5,17.4582208595175
"ALB",2026,"Measles",8,150.389973637051
"ALB",2026,"Measles",9,20.3009374962048
"ALB",2026,"P",20,21.5370941820165
"ALB",2026,"PCV",13,17.6248486182571
"ALB",2026,"Rota",15,0.719832221665646
"ALB",2026,"Rubella",17,4.68970245500045
"ALB",2026,"T",20,2.56141908307472
"ALB",2026,"TB",21,1.60069697505966
"ALB",2027,"D",20,0.433315535357308
"ALB",2027,"HPV",2,25.9973319180437
"ALB",2027,"HepB",3,191.734576038964
"ALB",2027,"HepB",4,38.8692957446119
"ALB",2027,"Hib",5,17.3247750458708
"ALB",2027,"Measles",8,149.750576126745
"ALB",2027,"Measles",9,20.2311760989552
"ALB",2027,"P",20,21.3724705883623
"ALB",2027,"PCV",13,17.5372363267694
"ALB",2027,"Rota",15,0.769897645825453
"ALB",2027,"Rubella",17,4.66976373168474
"ALB",2027,"T",20,2.54184030374885
"ALB",2027,"TB",21,1.58846168992051
"ALB",2028,"D",20,0.42725134296649
"ALB",2028,"HPV",2,24.7466942333868
"ALB",2028,"HepB",3,189.051276544259
"ALB",2028,"HepB",4,38.3253252006143
"ALB",2028,"Hib",5,17.0823171591044
"ALB",2028,"Measles",8,148.075473402622
"ALB",2028,"Measles",9,20.15230665998
"ALB",2028,"P",20,21.0733657491876
"ALB",2028,"PCV",13,17.3316222730752
"ALB",2028,"Rota",15,0.787501353971963
"ALB",2028,"Rubella",17,4.61752797974124
"ALB",2028,"T",20,2.50626759201591
"ALB",2028,"TB",21,1.56623138311838
"ALB",2029,"D",20,0.421046122845654
"ALB",2029,"HPV",2,24.2046558967006
"ALB",2029,"HepB",3,186.305574735723
"ALB",2029,"HepB",4,37.7687041788494
"ALB",2029,"Hib",5,16.8342207168318
"ALB",2029,"Measles",8,146.271535862208
"ALB",2029,"Measles",9,20.0370596597945
"ALB",2029,"P",20,20.7673049835205
"ALB",2029,"PCV",13,17.1135423482905
"ALB",2029,"Rota",15,0.790549018391482
"ALB",2029,"Rubella",17,4.56127469298711
"ALB",2029,"T",20,2.4698676079171
"ALB",2029,"TB",21,1.54348409243713
"ALB",2030,"D",20,0.412788165765651
"ALB",2030,"HPV",2,24.0238547404982
"ALB",2030,"HepB",3,182.651572581435
"ALB",2030,"HepB",4,37.0279484251369
"ALB",2030,"Hib",5,16.5040519666356
"ALB",2030,"Measles",8,143.686919277707
"ALB",2030,"Measles",9,19.7882468162411
"ALB",2030,"P",20,20.3599968433525
"ALB",2030,"PCV",13,16.8061651203569
"ALB",2030,"Rota",15,0.782399345234493
"ALB",2030,"Rubella",17,4.48067701450875
"ALB",2030,"T",20,2.42142621493711
"ALB",2030,"TB",21,1.51321181418204
"ARE",2019,"D",20,19.7346822496609
"ARE",2019,"HepB",3,871.417302687421
"ARE",2019,"HepB",4,580.174164897348
"ARE",2019,"Hib",5,18.6905041932534
"ARE",2019,"Measles",8,296.883776966847
"ARE",2019,"Measles",9,50.1966288906775
"ARE",2019,"P",20,306.582545333849
"ARE",2019,"PCV",13,18.5804454851821
"ARE",2019,"Rota",15,5.27812690108812
"ARE",2019,"Rubella",17,332.425459319544
"ARE",2019,"T",20,27.4992188377572
"ARE",2019,"TB",21,64.8768487964996
"ARE",2020,"D",20,20.0459496757675
"ARE",2020,"HPV",2,27.3731491524586
"ARE",2020,"HepB",3,885.161827045137
"ARE",2020,"HepB",4,589.325025129933
"ARE",2020,"Hib",5,18.9853022071899
"ARE",2020,"Measles",8,301.566408688006
"ARE",2020,"Measles",9,50.9883606893638
"ARE",2020,"P",20,311.418151935871
"ARE",2020,"PCV",13,18.8735075861534
"ARE",2020,"Rota",15,5.36137673274902
"ARE",2020,"Rubella",17,337.668676098292
"ARE",2020,"T",20,27.9329532632363
"ARE",2020,"TB",21,65.9001259632317
"ARE",2021,"D",20,20.0846278766446
"ARE",2021,"HPV",2,35.2513976729463
"ARE",2021,"HepB",3,886.869726521539
"ARE",2021,"HepB",4,590.46211427126
"ARE",2021,"Hib",5,19.0219339130636
"ARE",2021,"Measles",8,302.14827416815
"ARE",2021,"Measles",9,51.0867415637568
"ARE",2021,"P",20,312.019026129022
"ARE",2021,"PCV",13,18.9099235868658
"ARE",2021,"Rota",15,5.37172138638735
"ARE",2021,"Rubella",17,338.320200076716
"ARE",2021,"T",20,27.9868492569349
"ARE",2021,"TB",21,66.0272787472635
"ARE",2022,"D",20,19.6575304944721
"ARE",2022,"HPV",2,41.2622150993199
"ARE",2022,"HepB",3,869.323632709842
"ARE",2022,"HepB",4,590.286976497588
"ARE",2022,"Hib",5,18.6174346000554
"ARE",2022,"Measles",8,295.723124659893
"ARE",2022,"Measles",9,50.576517446396
"ARE",2022,"P",20,305.383976176083
"ARE",2022,"PCV",13,18.5078061610098
"ARE",2022,"Rota",15,5.35180692758434
"ARE",2022,"Rubella",17,331.125858579512
"ARE",2022,"T",20,27.3917120143478
"ARE",2022,"TB",21,65.367837393414
"ARE",2023,"D",20,19.0171913910616
"ARE",2023,"HPV",2,43.0974990411821
"ARE",2023,"HepB",3,842.181790454674
"ARE",2023,"HepB",4,580.441603712272
"ARE",2023,"Hib",5,18.0109763583675
"ARE",2023,"Measles",8,286.090018377508
"ARE",2023,"Measles",9,49.3857479562526
"ARE",2023,"P",20,295.436170089478
"ARE",2023,"PCV",13,17.9049190381044
"ARE",2023,"Rota",15,5.24989224722602
"ARE",2023,"Rubella",17,320.339517158931
"ARE",2023,"T",20,26.4994338964489
"ARE",2023,"TB",21,63.8288222469633
"ARE",2024,"D",20,18.7122680084851
"ARE",2024,"HPV",2,44.1315749228633
"ARE",2024,"HepB",3,829.749683219867
"ARE",2024,"HepB",4,578.367415480204
"ARE",2024,"Hib",5,17.7221867194685
"ARE",2024,"Measles",8,281.502824909705
"ARE",2024,"Measles",9,48.9621869125016
"ARE",2024,"P",20,290.699119572046
"ARE",2024,"PCV",13,17.617829931959
"ARE",2024,"Rota",15,5.22227243466406
"ARE",2024,"Rubella",17,315.203164101512
"ARE",2024,"T",20,26.0745395545923
"ARE",2024,"TB",21,63.2813889551507
"ARE",2025,"D",20,18.4292418084158
"ARE",2025,"HPV",2,44.2832512816949
"ARE",2025,"HepB",3,818.176660562509
"ARE",2025,"HepB",4,575.19974581928
"ARE",2025,"Hib",5,17.4541356653764
"ARE",2025,"Measles",8,277.245047348651
"ARE",2025,"Measles",9,48.5188709581832
"ARE",2025,"P",20,286.302246507881
"ARE",2025,"PCV",13,17.3513572918253
"ARE",2025,"Rota",15,5.18749539119843
"ARE",2025,"Rubella",17,310.435663243518
"ARE",2025,"T",20,25.6801577594328
"ARE",2025,"TB",21,62.7084233442522
"ARE",2026,"D",20,18.1580851091448
"ARE",2026,"HPV",2,43.5525281176768
"ARE",2026,"HepB",3,807.029848730408
"ARE",2026,"HepB",4,571.043736439961
"ARE",2026,"Hib",5,17.1973260871608
"ARE",2026,"Measles",8,273.165831680974
"ARE",2026,"Measles",9,48.0449965385463
"ARE",2026,"P",20,282.089768698756
"ARE",2026,"PCV",13,17.0960599323336
"ARE",2026,"Rota",15,5.14574349277871
"ARE",2026,"Rubella",17,305.868100960914
"ARE",2026,"T",20,25.302315475567
"ARE",2026,"TB",21,62.0959623134872
"ARE",2027,"D",20,17.7932002828805
"ARE",2027,"HPV",2,46.1461252218604
"ARE",2027,"HepB",3,791.621357094504
"ARE",2027,"HepB",4,562.874994349965
"ARE",2027,"Hib",5,16.85174761323
"ARE",2027,"Measles",8,267.676592786281
"ARE",2027,"Measles",9,47.2722628424435
"ARE",2027,"P",20,276.421204220514
"ARE",2027,"PCV",13,16.7525163912213
"ARE",2027,"Rota",15,5.0692301019898
"ARE",2027,"Rubella",17,299.721713376096
"ARE",2027,"T",20,24.7938680852782
"ARE",2027,"TB",21,61.0972393261088
"ARE",2028,"D",20,17.3914790748285
"ARE",2028,"HPV",2,48.5206838196136
"ARE",2028,"HepB",3,774.480578290874
"ARE",2028,"HepB",4,552.698467722865
"ARE",2028,"Hib",5,16.4712818003718
"ARE",2028,"Measles",8,261.633196291452
"ARE",2028,"Measles",9,46.3593551063731
"ARE",2028,"P",20,270.180378605939
"ARE",2028,"PCV",13,16.3742909446687
"ARE",2028,"Rota",15,4.97564150436232
"ARE",2028,"Rubella",17,292.954826764207
"ARE",2028,"T",20,24.2340911771812
"ARE",2028,"TB",21,59.91734779819
"ARE",2029,"D",20,17.0507425432917
"ARE",2029,"HPV",2,51.7002080706003
"ARE",2029,"HepB",3,759.971152502898
"ARE",2029,"HepB",4,543.814291561283
"ARE",2029,"Hib",5,16.1485739152934
"ARE",2029,"Measles",8,256.507238490182
"ARE",2029,"Measles",9,45.5750995436313
"ARE",2029,"P",20,264.88696309485
"ARE",2029,"PCV",13,16.0534833193451
"ARE",2029,"Rota",15,4.89439064051869
"ARE",2029,"Rubella",17,287.215210763802
"ARE",2029,"T",20,23.7592931374556
"ARE",2029,"TB",21,58.9037333247435
"ARE",2030,"D",20,16.7734464470561
"ARE",2030,"HPV",2,56.1477055023172
"ARE",2030,"HepB",3,748.216818575395
"ARE",2030,"HepB",4,536.468660490082
"ARE",2030,"Hib",5,15.8859497805899
"ARE",2030,"Measles",8,252.335663222483
"ARE",2030,"Measles",9,44.9338944714226
"ARE",2030,"P",20,260.579108429669
"ARE",2030,"PCV",13,15.7924056422799
"ARE",2030,"Rota",15,4.82746755059434
"ARE",2030,"Rubella",17,282.544231976686
"ARE",2030,"T",20,23.3728959339551
